,state,act18_composite,act18_partrate,sat18_readwrite,sat18_math,sat18_total,sat18_partrate
0,Alabama,19.1,1.0,595.0,571.0,1166.0,0.06
1,Alaska,20.8,0.33,562.0,544.0,1106.0,0.43
2,Arizona,19.2,0.66,577.0,572.0,1149.0,0.29
3,Arkansas,19.4,1.0,592.0,576.0,1169.0,0.05
4,California,22.7,0.27,540.0,536.0,1076.0,0.6
5,Colorado,23.9,0.3,519.0,506.0,1025.0,1.0
6,Connecticut,25.6,0.26,535.0,519.0,1053.0,1.0
7,Delaware,23.8,0.17,505.0,492.0,998.0,1.0
9,Florida,19.9,0.66,550.0,549.0,1099.0,0.56
10,Georgia,21.4,0.53,542.0,522.0,1064.0,0.7
11,Hawaii,18.9,0.89,480.0,530.0,1010.0,0.56
12,Idaho,22.3,0.36,508.0,493.0,1001.0,1.0
13,Illinois,23.9,0.43,513.0,506.0,1019.0,0.99
14,Indiana,22.5,0.32,542.0,532.0,1074.0,0.63
15,Iowa,21.8,0.68,634.0,631.0,1265.0,0.03
16,Kansas,21.6,0.71,633.0,631.0,1265.0,0.04
17,Kentucky,20.2,1.0,630.0,618.0,1248.0,0.04
18,Louisiana,19.2,1.0,615.0,595.0,1210.0,0.04
20,Maine,24.0,0.07,512.0,501.0,1013.0,0.99
21,Maryland,22.5,0.31,545.0,535.0,1080.0,0.76
22,Massachusetts,25.5,0.25,562.0,563.0,1125.0,0.8
23,Michigan,24.2,0.22,511.0,499.0,1011.0,1.0
24,Minnesota,21.3,0.99,643.0,655.0,1298.0,0.04
25,Mississippi,18.6,1.0,630.0,606.0,1236.0,0.03
26,Missouri,20.0,1.0,633.0,629.0,1262.0,0.04
27,Montana,20.0,1.0,606.0,592.0,1198.0,0.1
28,Nebraska,20.1,1.0,629.0,623.0,1252.0,0.03
29,Nevada,17.7,1.0,574.0,566.0,1140.0,0.23
30,New Hampshire,25.1,0.16,535.0,528.0,1063.0,0.96
31,New Jersey,23.7,0.31,547.0,547.0,1094.0,0.82
32,New Mexico,19.4,0.67,552.0,540.0,1093.0,0.16
33,New York,24.5,0.27,534.0,534.0,1068.0,0.79
34,North Carolina,19.1,1.0,554.0,543.0,1098.0,0.52
35,North Dakota,20.3,0.98,640.0,643.0,1283.0,0.02
36,Ohio,20.3,1.0,552.0,547.0,1099.0,0.18
37,Oklahoma,19.3,1.0,541.0,521.0,1062.0,0.08
38,Oregon,21.3,0.42,564.0,553.0,1117.0,0.48
39,Pennsylvania,23.5,0.2,547.0,539.0,1086.0,0.7
40,Rhode Island,24.2,0.15,513.0,505.0,1018.0,0.97
41,South Carolina,18.3,1.0,547.0,523.0,1070.0,0.55
42,South Dakota,21.9,0.77,622.0,618.0,1240.0,0.03
43,Tennessee,19.6,1.0,624.0,607.0,1231.0,0.06
44,Texas,20.7,0.45,520.0,512.0,1032.0,0.66
45,Utah,20.4,1.0,480.0,530.0,1010.0,0.04
46,Vermont,24.1,0.24,565.0,554.0,1120.0,0.64
47,Virginia,23.9,0.24,567.0,550.0,1117.0,0.68
48,Washington,22.2,0.24,543.0,538.0,1081.0,0.69
49,West Virginia,20.3,0.65,513.0,486.0,999.0,0.28
50,Wisconsin,20.5,1.0,641.0,653.0,1294.0,0.03
51,Wyoming,20.0,1.0,633.0,625.0,1257.0,0.03
